;pais;Imunizados;media_vacinacao;vacina_utilizada
212;Anguilla;22714;55;['Oxford/AstraZeneca, Pfizer/BioNTech']
213;Nauru;16824;49;['Oxford/AstraZeneca']
214;Wallis and Futuna;13073;33;['Moderna']
215;Burundi;12166;81;['Sinopharm/Beijing']
216;Tuvalu;12114;54;['Oxford/AstraZeneca']
217;Saint Helena;7892;84;['Oxford/AstraZeneca']
218;Falkland Islands;4407;74;['Oxford/AstraZeneca']
219;Montserrat;4211;10;['Oxford/AstraZeneca']
220;Niue;4161;16;['Pfizer/BioNTech']
221;Tokelau;1936;17;['Pfizer/BioNTech']
222;Pitcairn;94;0;['Oxford/AstraZeneca']
